,Полное имя пользователя,Просмотры,Активные действия,views_bin,active_bin,views_sq,views_log
141,3645c593654567d475e8ff267ce80b6b,49,2,"(0.0, 100.0]",,2401,3.912023005428146
142,3648f2d5e050c86e03d1251de7ac8e2d,8,1,"(0.0, 100.0]",,64,2.1972245773362196
146,380ab17acca34f54ff15a4508dce6f9d,17,1,"(0.0, 100.0]",,289,2.8903717578961645
147,3912da5756342cf8bc3ef234c5b9a344,16,1,"(0.0, 100.0]",,256,2.833213344056216
149,398e33877ebcd3549662238e655556eb,3,0,"(0.0, 100.0]",,9,1.3862943611198906
151,3a5152a8b7ed0e6100688ad39bf41f77,55,1,"(0.0, 100.0]",,3025,4.02535169073515
154,3af9b29f6b9e62352edf995a07ab9c14,9,1,"(0.0, 100.0]",,81,2.302585092994046
155,3b8b6907b05e51d5d948396f69110626,16,1,"(0.0, 100.0]",,256,2.833213344056216
156,3be7d1d89d4360587db8bb49719f24b0,11,1,"(0.0, 100.0]",,121,2.4849066497880004
157,3cf7f6b2d13c50aadbfe124902e8bf82,48,7,"(0.0, 100.0]",,2304,3.8918202981106265
158,3d0ec75caefe8deab5bfe48dea40c6a0,6,1,"(0.0, 100.0]",,36,1.9459101490553132
159,3d4ebfd92a7d31014828edae7194d3cb,11,0,"(0.0, 100.0]",,121,2.4849066497880004
160,3e43b2835fcd493bcf3691c89b71329c,95,6,"(0.0, 100.0]",,9025,4.564348191467836
161,3e72b5e10078f2637b712c877b26abf9,22,5,"(0.0, 100.0]",,484,3.1354942159291497
162,3ecf904e280e88070d5bbd95b6469574,90,9,"(0.0, 100.0]",,8100,4.51085950651685
164,40c4b677647e7f8416f5bc1815d5a1c2,78,5,"(0.0, 100.0]",,6084,4.3694478524670215
166,40d1bc2145f17bfcdf383ef0db2e0604,28,1,"(0.0, 100.0]",,784,3.367295829986474
169,424e89a8dcc412ba2810ce4ab8b333ea,14,1,"(0.0, 100.0]",,196,2.70805020110221
